IS_Detect_ID,ParentLine,SubLine,gen,file_name,Anc,RecA,Prefix,sample_name_raw,Contig_Date,Complete,Folder,Folder_check,folder_err,File
,0,0,Anc,20230904/MDS42_IS1.fa,,1,,,,,,,,
L01_Anc,1,1,FACS,20231004/L01_Anc_m1.fasta,R01,1,L01-1,L01_Anc,20220418,TRUE,20231004,20231004,,L01_Anc_m1.fasta
L01_Anc,1,2,FACS,20231004/L01_Anc_m1.fasta,R01,1,L01-2,L01_Anc,20220418,TRUE,20231004,20231004,,L01_Anc_m1.fasta
L01_Anc,1,3,FACS,20231004/L01_Anc_m1.fasta,R01,1,L01-3,L01_Anc,20220418,TRUE,20231004,20231004,,L01_Anc_m1.fasta
L01_Anc,1,4,FACS,20231004/L01_Anc_m1.fasta,R01,1,L01-4,L01_Anc,20220418,TRUE,20231004,20231004,,L01_Anc_m1.fasta
L02_Anc,2,1,FACS,20231003/L02_Anc.fasta,R02,1,L02-1,L02_Anc,20220418,TRUE,20231003,20231003,,L02_Anc.fasta
L02_Anc,2,2,FACS,20231003/L02_Anc.fasta,R02,1,L02-2,L02_Anc,20220418,TRUE,20231003,20231003,,L02_Anc.fasta
L02_Anc,2,3,FACS,20231003/L02_Anc.fasta,R02,1,L02-3,L02_Anc,20220418,TRUE,20231003,20231003,,L02_Anc.fasta
L02_Anc,2,4,FACS,20231003/L02_Anc.fasta,R02,1,L02-4,L02_Anc,20220418,TRUE,20231003,20231003,,L02_Anc.fasta
L03_Anc,3,1,FACS,20240703/L03_Anc_m1.fasta,R03,1,L03-1,L03_Anc,20220418,TRUE,20240703,20240703,,L03_Anc_m1.fasta
L03_Anc,3,2,FACS,20240703/L03_Anc_m1.fasta,R03,1,L03-2,L03_Anc,20220418,TRUE,20240703,20240703,,L03_Anc_m1.fasta
L03_Anc,3,3,FACS,20240703/L03_Anc_m1.fasta,R03,1,L03-3,L03_Anc,20220418,TRUE,20240703,20240703,,L03_Anc_m1.fasta
L03_Anc,3,4,FACS,20240703/L03_Anc_m1.fasta,R03,1,L03-4,L03_Anc,20220418,TRUE,20240703,20240703,,L03_Anc_m1.fasta
L04_Anc,4,1,FACS,20231004/L04_Anc_m1.fasta,R04,1,L04-1,L04_Anc,20230717,TRUE,20231004,20231004,,L04_Anc_m1.fasta
L04_Anc,4,2,FACS,20231004/L04_Anc_m1.fasta,R04,1,L04-2,L04_Anc,20230717,TRUE,20231004,20231004,,L04_Anc_m1.fasta
L04_Anc,4,3,FACS,20231004/L04_Anc_m1.fasta,R04,1,L04-3,L04_Anc,20230717,TRUE,20231004,20231004,,L04_Anc_m1.fasta
L04_Anc,4,4,FACS,20231004/L04_Anc_m1.fasta,R04,1,L04-4,L04_Anc,20230717,TRUE,20231004,20231004,,L04_Anc_m1.fasta
L05_Anc,5,1,FACS,20231004/L05_Anc_m1.fasta,R05,1,L05-1,L05_Anc,20230909,TRUE,20231004,20231004,,L05_Anc_m1.fasta
L05_Anc,5,2,FACS,20240703/L05_Anc_m2.fasta,R05,1,L05-2,L05_Anc,20230909,TRUE,20240703,20240703,,L05_Anc_m2.fasta
L05_Anc,5,3,FACS,20240703/L05_Anc_m2.fasta,R05,1,L05-3,L05_Anc,20230909,TRUE,20240703,20240703,,L05_Anc_m2.fasta
L05_Anc,5,4,FACS,20231004/L05_Anc_m1.fasta,R05,1,L05-4,L05_Anc,20230909,TRUE,20231004,20231004,,L05_Anc_m1.fasta
L06_Anc,6,1,FACS,20231004/L06_Anc_m1.fasta,R06,1,L06-1,L06_Anc,20230717,TRUE,20231004,20231004,,L06_Anc_m1.fasta
L06_Anc,6,2,FACS,20231004/L06_Anc_m1.fasta,R06,1,L06-2,L06_Anc,20230717,TRUE,20231004,20231004,,L06_Anc_m1.fasta
L06_Anc,6,3,FACS,20231004/L06_Anc_m1.fasta,R06,1,L06-3,L06_Anc,20230717,TRUE,20231004,20231004,,L06_Anc_m1.fasta
L06_Anc,6,4,FACS,20231004/L06_Anc_m1.fasta,R06,1,L06-4,L06_Anc,20230717,TRUE,20231004,20231004,,L06_Anc_m1.fasta
L07_Anc,7,1,FACS,20240703/L07_Anc_m1.fasta,r01,0,L07-1,L07_Anc,20221222,TRUE,20240703,20240703,,L07_Anc_m1.fasta
