is_id_desc,flank_id,s_start_x,s_end_x,flank,subject_id,query_id,q_start,q_end,s_start_y,s_end_y,alignment_length,evalue,IS_strand,is_match_length,is_ins_pos
0,0_r,476814,480004,r,MDS42(AP012306),0_r,1,98,476836,476933,98,3.25e-44,False,-2,476936
0,0_f,480103,476913,f,MDS42(AP012306),0_f,1,99,477023,476925,99,9.309999999999999e-45,False,-1,476923
1,1_r,552417,555608,r,MDS42(AP012306),1_r,1,98,549340,549437,98,3.25e-44,False,-2,549440
1,1_f,555707,552516,f,MDS42(AP012306),1_f,1,99,554475,554377,99,9.309999999999999e-45,False,-1,554375
2,2_r,706410,709600,r,MDS42(AP012306),2_r,1,98,705187,705284,98,3.25e-44,False,-2,705287
2,2_f,709699,706509,f,MDS42(AP012306),2_f,1,99,705375,705277,99,9.309999999999999e-45,False,-1,705275
3,3_f,1185881,1190642,f,MDS42(AP012306),3_f,1,98,1181509,1181606,98,4.86e-44,True,-2,1181609
3,3_r,1190741,1185980,r,MDS42(AP012306),3_r,1,99,1475364,1475266,99,1.39e-44,True,-1,1475264
4,4_r,1203609,1206800,r,MDS42(AP012306),4_r,1,94,1488232,1488325,94,4.82e-42,False,-6,1488332
4,4_f,1206899,1203708,f,MDS42(AP012306),4_f,1,99,1475176,1475274,99,9.309999999999999e-45,True,-1,1475276
5,5_f,1406279,1409469,f,MDS42(AP012306),5_f,1,3190,1275799,1272610,3190,0.0,False,3090,1275699
5,5_r,1409568,1406378,r,MDS42(AP012306),5_r,1,3190,1272511,1275700,3190,0.0,False,3090,1272611
6,6_r,1500377,1505137,r,MDS42(AP012306),6_r,1,98,1181695,1181598,98,4.86e-44,True,-2,1181595
6,6_f,1505236,1500476,f,MDS42(AP012306),6_f,1,99,1489095,1488997,99,1.39e-44,False,-1,1488995
7,7_r,1676714,1679905,r,MDS42(AP012306),7_r,1,98,1660582,1660679,98,3.25e-44,False,-2,1660682
7,7_f,1680004,1676813,f,MDS42(AP012306),7_f,1,99,1660769,1660671,99,9.309999999999999e-45,False,-1,1660669
8,8_f,1957218,1960409,f,MDS42(AP012306),8_f,1,98,1937986,1938083,98,3.25e-44,True,-2,1938086
8,8_r,1960508,1957317,r,MDS42(AP012306),8_r,1,99,1938173,1938075,99,9.309999999999999e-45,True,-1,1938073
9,9_f,1993797,1996989,f,MDS42(AP012306),9_f,1,99,1971462,1971560,99,9.319999999999999e-45,True,-1,1971562
9,9_r,1997088,1993896,r,MDS42(AP012306),9_r,1,99,1938173,1938075,99,9.319999999999999e-45,True,-1,1938073
10,10_f,2030378,2035139,f,MDS42(AP012306),10_f,1,99,1971462,1971560,99,1.39e-44,True,-1,1971562
10,10_r,2035238,2030477,r,MDS42(AP012306),10_r,1,99,1980892,1980794,99,1.39e-44,True,-1,1980792
11,11_r,2350414,2355175,r,MDS42(AP012306),11_r,1,98,2296073,2296170,98,4.86e-44,False,-2,2296173
11,11_f,2355274,2350513,f,MDS42(AP012306),11_f,1,99,2296260,2296162,99,1.39e-44,False,-1,2296160
12,12_f,2705259,2708449,f,MDS42(AP012306),12_f,1,98,2646252,2646349,98,3.25e-44,True,-2,2646352
12,12_r,2708548,2705358,r,MDS42(AP012306),12_r,1,99,2650657,2650559,99,9.309999999999999e-45,True,-1,2650557
13,13_r,3416450,3419640,r,MDS42(AP012306),13_r,1,98,3358594,3358691,98,3.25e-44,False,-2,3358694
13,13_f,3419739,3416549,f,MDS42(AP012306),13_f,1,99,3358781,3358683,99,9.309999999999999e-45,False,-1,3358681
14,14_f,3747406,3752167,f,MDS42(AP012306),14_f,1,98,3686451,3686548,98,4.86e-44,True,-2,3686551
14,14_r,3752266,3747505,r,MDS42(AP012306),14_r,1,100,3686638,3686539,100,3.99e-45,True,0,3686538
15,15_f,3914000,3917190,f,MDS42(AP012306),15_f,1,98,3848376,3848473,98,3.25e-44,True,-2,3848476
15,15_r,3917289,3914099,r,MDS42(AP012306),15_r,1,99,3848563,3848465,99,9.309999999999999e-45,True,-1,3848463
16,16_f,4011561,4016322,f,MDS42(AP012306),16_f,1,98,3942922,3943019,98,4.86e-44,True,-2,3943022
16,16_r,4016421,4011660,r,MDS42(AP012306),16_r,1,99,3945427,3945329,99,1.39e-44,True,-1,3945327
