is_id_desc,s_start_x_f,s_end_x_f,query_id_f,q_start_f,q_end_f,s_start_y_f,s_end_y_f,alignment_length_f,evalue_f,IS_strand_f,is_match_length_f,is_ins_pos_f,is_matched_f,s_start_x_r,s_end_x_r,query_id_r,q_start_r,q_end_r,s_start_y_r,s_end_y_r,alignment_length_r,evalue_r,IS_strand_r,is_match_length_r,is_ins_pos_r,is_matched_r,_is_length,_same_strand,_range_overlap,_range_distance,_same_ins_pos,_detected_is_start,_detected_is_end,status,insert_id_f,target_locus_status_f,insert_id_r,target_locus_status_r
0,480115,476924,0_f,1,3191,480103,476914,3191,0.0,False,3091,480003,True,476825,480016,0_r,1,3191,476814,480004,3192,0.0,False,3091,476914,True,3192,True,3090,0,False,476914,480003,pristine,2,original,1,original
1,555255,552064,1_f,1,3191,555707,552517,3191,0.0,False,3091,555607,True,551965,555156,1_r,1,98,551956,552053,98,3.31e-44,False,-2,552056,False,3192,True,0,464,False,552056,555607,unknown,5,original,3,new
2,709249,706058,2_f,1,3191,709699,706510,3191,0.0,False,3091,709599,True,705959,709150,2_r,1,3191,706411,709600,3191,0.0,False,3091,706511,True,3192,True,3090,0,False,706511,709599,pristine,7,original,6,original
3,1062128,1065319,3_f,1,101,1062588,1062688,101,7.78e-46,True,1,1062688,False,1065418,1062227,3_r,1,99,1062775,1062677,99,9.48e-45,True,-1,1062675,False,3192,True,11,0,True,1062675,1062688,simple_insertion,8,new,8,new
4,1188521,1193279,4_f,1,4758,1185882,1190642,4761,0.0,True,4658,1185982,True,1193378,1188620,4_r,1,99,1390164,1390262,99,1.4200000000000001e-44,False,-1,1390264,False,4759,False,0,199522,False,1185982,1390264,unknown,9,original,13,new
5,1376631,1379821,5_f,1,3190,1206898,1203708,3191,0.0,False,3090,1206798,True,1379920,1376730,5_r,1,3190,1203608,1206799,3192,0.0,False,3090,1203708,True,3191,True,3091,0,False,1203708,1206798,pristine,12,original,11,original
6,1396075,1392885,6_f,1,99,1390352,1390254,99,9.48e-45,False,-1,1390252,False,1392786,1395976,6_r,1,3190,1190740,1187550,3191,0.0,True,3090,1190640,True,3191,False,0,199514,False,1190640,1390252,unknown,13,new,10,original
7,1412000,1415191,7_f,1,3191,1406280,1409469,3191,0.0,True,3091,1406380,True,1415290,1412099,7_r,1,3191,1409568,1406379,3191,0.0,True,3091,1409468,True,3192,True,3090,0,False,1406380,1409468,pristine,14,original,15,original
8,1510959,1506198,8_f,1,4761,1505236,1500477,4762,0.0,False,4661,1505136,True,1506099,1510860,8_r,1,4761,1500378,1505137,4762,0.0,False,4661,1500478,True,4762,True,4660,0,False,1500478,1505136,pristine,17,original,16,original
9,1685172,1681982,9_f,1,99,1680858,1680760,99,9.48e-45,False,-1,1680758,False,1681883,1685073,9_r,1,99,1676164,1676262,99,9.48e-45,False,-1,1676264,False,3191,True,0,4498,False,1676264,1680758,unknown,21,new,18,new
