subject_id,query_id,q_start,q_end,s_start,s_end,alignment_length,evalue,Crossing,IS_strand,IS_pos,Complete
contig_1,IS1,1,3092,1395976,1392885,3092,0.0,False,reverse,1394430.5,True
contig_1,IS1,1,3092,1921515,1924606,3092,0.0,False,forward,1923060.5,True
contig_1,IS1,1,3092,2155789,2158880,3092,0.0,False,forward,2157334.5,True
contig_1,IS1,1,3092,1376730,1379821,3092,0.0,False,forward,1378275.5,True
contig_1,IS1,1,3092,480016,476924,3093,0.0,False,reverse,478470.0,True
contig_1,IS1,1,3092,555156,552064,3093,0.0,False,reverse,553610.0,True
contig_1,IS1,1,3092,709150,706058,3093,0.0,False,reverse,707604.0,True
contig_1,IS1,1,3092,1412099,1415191,3093,0.0,False,forward,1413645.0,True
contig_1,IS1,1,3092,1509290,1506198,3093,0.0,False,reverse,1507744.0,True
contig_1,IS1,1,3092,1785661,1782569,3093,0.0,False,reverse,1784115.0,True
contig_1,IS1,1,3092,2066564,2063472,3093,0.0,False,reverse,2065018.0,True
contig_1,IS1,1,3092,2242816,2239724,3093,0.0,False,reverse,2241270.0,True
contig_1,IS1,1,3092,2328957,2325865,3093,0.0,False,reverse,2327411.0,True
contig_1,IS1,1,3092,2583286,2586378,3093,0.0,False,forward,2584832.0,True
contig_1,IS1,1,3092,2737541,2734449,3093,0.0,False,reverse,2735995.0,True
contig_1,IS1,1,3092,2992705,2995797,3093,0.0,False,forward,2994251.0,True
contig_1,IS1,1,3092,3618366,3621458,3093,0.0,False,forward,3619912.0,True
contig_1,IS1,1,3092,3885449,3888541,3093,0.0,False,forward,3886995.0,True
contig_1,IS1,1,3092,1062227,1065319,3093,0.0,False,forward,1063773.0,True
contig_1,IS1,1,3092,1802343,1805435,3093,0.0,False,forward,1803889.0,True
contig_1,IS1,1,3092,3754921,3751828,3094,0.0,False,reverse,3753374.5,True
contig_1,IS1,1,3092,1685073,1681982,3093,0.0,False,reverse,1683527.5,True
contig_1,IS1,1,3092,1753941,1750850,3093,0.0,False,reverse,1752395.5,True
contig_1,IS1,1,3092,1854895,1851804,3093,0.0,False,reverse,1853349.5,True
contig_1,IS1,1,3092,2110187,2113278,3093,0.0,False,forward,2111732.5,True
contig_1,IS1,1,3092,2979924,2976833,3093,0.0,False,reverse,2978378.5,True
contig_1,IS1,1,3092,3288945,3285854,3093,0.0,False,reverse,3287399.5,True
contig_1,IS1,1,3092,1190189,1193279,3092,0.0,False,forward,1191734.0,True
contig_1,IS1,1,3092,3786317,3789407,3092,0.0,False,forward,3787862.0,True
contig_1,IS1,1,3092,1884941,1888029,3092,0.0,False,forward,1886485.0,True
contig_1,IS1,1,2119,2997916,2995798,2119,0.0,False,reverse,2996857.0,False
contig_1,IS1,1,1569,1510860,1509291,1570,0.0,False,reverse,1510075.5,False
contig_1,IS1,1,1569,2154219,2155788,1570,0.0,False,forward,2155003.5,False
contig_1,IS1,1,1569,3616796,3618365,1570,0.0,False,forward,3617580.5,False
contig_1,IS1,1,1569,1188620,1190188,1570,0.0,False,forward,1189404.0,False
contig_1,IS1,1,1569,3883880,3885448,1570,0.0,False,forward,3884664.0,False
