subject_id,query_id,q_start,q_end,s_start,s_end,alignment_length,evalue,Crossing,IS_strand,IS_pos,Complete
L01-1_G08_polish_fix,IS1,1,3092,709600,706509,3092,0.0,False,reverse,708054.5,True
L01-1_G08_polish_fix,IS1,1,3092,1406378,1409469,3092,0.0,False,forward,1407923.5,True
L01-1_G08_polish_fix,IS1,1,3092,3419640,3416549,3092,0.0,False,reverse,3418094.5,True
L01-1_G08_polish_fix,IS1,1,3092,2705358,2708449,3092,0.0,False,forward,2706903.5,True
L01-1_G08_polish_fix,IS1,1,3092,555608,552516,3093,0.0,False,reverse,554062.0,True
L01-1_G08_polish_fix,IS1,1,3092,1187550,1190642,3093,0.0,False,forward,1189096.0,True
L01-1_G08_polish_fix,IS1,1,3092,1206800,1203708,3093,0.0,False,reverse,1205254.0,True
L01-1_G08_polish_fix,IS1,1,3092,1503568,1500476,3093,0.0,False,reverse,1502022.0,True
L01-1_G08_polish_fix,IS1,1,3092,1679905,1676813,3093,0.0,False,reverse,1678359.0,True
L01-1_G08_polish_fix,IS1,1,3092,1957317,1960409,3093,0.0,False,forward,1958863.0,True
L01-1_G08_polish_fix,IS1,1,3092,2032047,2035139,3093,0.0,False,forward,2033593.0,True
L01-1_G08_polish_fix,IS1,1,3092,2353605,2350513,3093,0.0,False,reverse,2352059.0,True
L01-1_G08_polish_fix,IS1,1,3092,3749075,3752167,3093,0.0,False,forward,3750621.0,True
L01-1_G08_polish_fix,IS1,1,3092,4013230,4016322,3093,0.0,False,forward,4014776.0,True
L01-1_G08_polish_fix,IS1,1,3092,1993896,1996989,3094,0.0,False,forward,1995442.5,True
L01-1_G08_polish_fix,IS1,1,3092,480004,476913,3093,0.0,False,reverse,478458.5,True
L01-1_G08_polish_fix,IS1,1,3092,3914099,3917190,3093,0.0,False,forward,3915644.5,True
L01-1_G08_polish_fix,IS1,1,1569,1185980,1187549,1570,0.0,False,forward,1186764.5,False
L01-1_G08_polish_fix,IS1,1,1569,2030477,2032046,1570,0.0,False,forward,2031261.5,False
L01-1_G08_polish_fix,IS1,1,1569,2355175,2353606,1570,0.0,False,reverse,2354390.5,False
L01-1_G08_polish_fix,IS1,1,1569,3747505,3749074,1570,0.0,False,forward,3748289.5,False
L01-1_G08_polish_fix,IS1,1,1569,4011660,4013229,1570,0.0,False,forward,4012444.5,False
L01-1_G08_polish_fix,IS1,1,1569,1505137,1503569,1569,0.0,False,reverse,1504353.0,False
