group,start,end,depth,length,start_fix,end_fix,is_start,is_end,line,gen_id
1,1,549437,1.0,549437,1,552530,-1,3,L01-1,2
2,549438,554384,0.0,4947,552531,560570,3,6,L01-1,2
3,554385,1934345,1.0,1379961,560571,1952959,6,16,L01-1,2
4,1934346,1967835,2.0,33490,1952960,1991112,16,17,L01-1,2
5,1967836,2633390,1.0,665555,1991113,2661330,17,21,L01-1,2
6,2633391,2637598,0.0,4208,2661331,2665538,21,22,L01-1,2
7,2637599,3965065,1.0,1327467,2665539,4003851,22,-1,L01-1,2
1,1,548961,1.0,548961,1,552053,-1,3,L01-1,3
2,548962,549423,0.0,462,552054,552515,3,4,L01-1,3
3,549424,1651475,1.0,1102052,555609,1676262,4,18,L01-1,3
4,1651476,1652879,0.0,1404,1676263,1680759,18,21,L01-1,3
5,1652880,1763952,1.0,111073,1680760,1791832,21,24,L01-1,3
6,1763953,1764547,0.0,595,1791833,1792427,24,25,L01-1,3
7,1764548,1810922,1.0,46375,1792428,1838802,25,26,L01-1,3
8,1810923,1899385,0.0,88463,1838803,1927265,26,27,L01-1,3
9,1899386,2219823,1.0,320438,1927266,2258553,27,36,L01-1,3
10,2219824,2230932,0.0,11109,2258554,2269662,36,37,L01-1,3
11,2230933,2311783,1.0,80851,2269663,2355176,37,38,L01-1,3
12,2311784,2320088,0.0,8305,2355177,2363481,38,40,L01-1,3
13,2320089,2403141,1.0,83053,2363482,2446534,40,41,L01-1,3
14,2403142,2407626,0.0,4485,2446535,2451019,41,42,L01-1,3
15,2407627,2661964,1.0,254338,2451020,2705357,42,43,L01-1,3
16,2661965,2663552,0.0,1588,2708450,2710037,43,45,L01-1,3
17,2663553,3063678,1.0,400126,2710038,3110163,45,48,L01-1,3
18,3063679,3082115,0.0,18437,3110164,3128600,48,49,L01-1,3
19,3082116,3697927,1.0,615812,3128601,3747504,49,52,L01-1,3
20,3697928,3698097,0.0,170,3752168,3752337,52,54,L01-1,3
21,3698098,3989424,1.0,291327,3752338,4051419,54,-1,L01-1,3
1,1,528524,1.0,528524,1,531617,-1,3,L01-2,2
2,528525,554074,0.0,25550,531618,560260,3,4,L01-2,2
3,554075,565109,1.0,11035,560261,571295,4,6,L01-2,2
4,565110,581275,2.0,16166,571296,587461,6,7,L01-2,2
5,581276,1181644,1.0,600369,587462,1187830,7,8,L01-2,2
6,1181645,1184107,0.0,2463,1192503,1194965,8,10,L01-2,2
7,1184108,2283108,1.0,1099001,1194966,2306385,10,19,L01-2,2
8,2283109,2283210,0.0,102,2306386,2311150,19,20,L01-2,2
9,2283211,3492845,1.0,1209635,2311151,3523878,20,24,L01-2,2
10,3492846,3494004,0.0,1159,3523879,3525037,24,25,L01-2,2
11,3494005,3965065,1.0,471061,3525038,4003851,25,-1,L01-2,2
1,1,533294,1.0,533294,1,539479,-1,5,L01-2,3
2,533295,546552,0.0,13258,539480,555830,5,8,L01-2,3
3,546553,2039553,1.0,1493001,555831,2067432,8,21,L01-2,3
4,2039554,2039794,0.0,241,2067433,2067673,21,22,L01-2,3
5,2039795,3676157,1.0,1636363,2070767,3721066,22,35,L01-2,3
6,3676158,3703177,0.0,27020,3721067,3748086,35,36,L01-2,3
7,3703178,3822195,1.0,119018,3748087,3867104,36,38,L01-2,3
8,3822196,3822345,0.0,150,3867105,3870345,38,40,L01-2,3
9,3822346,3916798,1.0,94453,3870346,3967891,40,42,L01-2,3
