start,end,IS_strand,max_alignment_length,length,cluster_id
476913,480004,reverse,3093,3092,0
552516,555608,reverse,3093,3093,1
706509,709600,reverse,3092,3092,2
1185980,1190642,forward,3093,4663,3
1203708,1206800,reverse,3093,3093,4
1406378,1409469,forward,3092,3092,5
1500476,1505137,reverse,3093,4662,6
1676813,1679905,reverse,3093,3093,7
1957317,1960409,forward,3093,3093,8
1993896,1996989,forward,3094,3094,9
2030477,2035139,forward,3093,4663,10
2350513,2355175,reverse,3093,4663,11
2705358,2708449,forward,3092,3092,12
3416549,3419640,reverse,3092,3092,13
3747505,3752167,forward,3093,4663,14
3914099,3917190,forward,3093,3092,15
4011660,4016322,forward,3093,4663,16
