subject_id,query_id,q_start,q_end,s_start,s_end,alignment_length,evalue,Crossing,IS_strand,IS_pos,Complete
L01_Anc_m1,IS1,1,3092,560259,557167,3093,0.0,False,reverse,558713.0,True
L01_Anc_m1,IS1,1,3092,1189410,1192502,3093,0.0,False,forward,1190956.0,True
L01_Anc_m1,IS1,1,3092,1405123,1408215,3093,0.0,False,forward,1406669.0,True
L01_Anc_m1,IS1,1,3092,1502322,1499230,3093,0.0,False,reverse,1500776.0,True
L01_Anc_m1,IS1,1,3092,1988018,1991110,3093,0.0,False,forward,1989564.0,True
L01_Anc_m1,IS1,1,3092,3376737,3373645,3093,0.0,False,reverse,3375191.0,True
L01_Anc_m1,IS1,1,3092,480020,476928,3093,0.0,False,reverse,478474.0,True
L01_Anc_m1,IS1,1,3092,2309577,2306486,3093,0.0,False,reverse,2308031.5,True
L01_Anc_m1,IS1,1,3092,3965663,3968754,3093,0.0,False,forward,3967208.5,True
L01_Anc_m1,IS1,1,3092,3866530,3869621,3092,0.0,False,forward,3868075.5,True
L01_Anc_m1,IS1,1,1570,1187831,1189401,1571,0.0,False,forward,1188616.0,False
L01_Anc_m1,IS1,1,1569,1503892,1502323,1570,0.0,False,reverse,1503107.5,False
L01_Anc_m1,IS1,1,1569,1986448,1988017,1570,0.0,False,forward,1987232.5,False
L01_Anc_m1,IS1,1,1569,2311148,2309578,1571,0.0,False,reverse,2310363.0,False
L01_Anc_m1,IS1,1,1569,3964094,3965662,1570,0.0,False,forward,3964878.0,False
