sseqid,qseqid,qstart,qend,sstart,send,length,evalue,bitscore,pident
L01-1_G08_polish_fix,L01-1.1.0.dir,1,2999,473915,476913,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.0.tail,1,2999,480007,483005,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.1.dir,1974,2063,547675,547586,90,1.84e-15,82.4,80.0
L01-1_G08_polish_fix,L01-1.1.1.tail,311,2999,555609,558298,2690,0.0,4844.0,99.963
L01-1_G08_polish_fix,L01-1.1.2.dir,1,2998,1182973,1185970,2998,0.0,5407.0,100.0
L01-1_G08_polish_fix,L01-1.1.2.dir,782,1003,1348040,1347819,222,6.41e-34,144.0,74.324
L01-1_G08_polish_fix,L01-1.1.2.dir,773,1020,3577386,3577138,249,1.72e-28,126.0,71.486
L01-1_G08_polish_fix,L01-1.1.2.dir,813,1013,2678706,2678906,201,6.01e-28,124.0,73.632
L01-1_G08_polish_fix,L01-1.1.2.dir,900,1016,1290665,1290548,118,2.73e-13,75.2,74.576
L01-1_G08_polish_fix,L01-1.1.2.tail,2,2999,1203703,1200706,2998,0.0,5407.0,100.0
L01-1_G08_polish_fix,L01-1.1.2.tail,1,222,1086676,1086455,222,7.82e-14,77.0,67.568
L01-1_G08_polish_fix,L01-1.1.3.dir,1,2999,1403381,1406378,3000,0.0,5382.0,99.867
L01-1_G08_polish_fix,L01-1.1.3.tail,1,2999,1409472,1412470,2999,0.0,5405.0,99.967
L01-1_G08_polish_fix,L01-1.1.3.tail,2432,2871,2150401,2149962,442,7.309999999999999e-46,184.0,69.683
L01-1_G08_polish_fix,L01-1.1.3.tail,2432,2736,2969543,2969847,306,4.6099999999999996e-42,171.0,72.876
L01-1_G08_polish_fix,L01-1.1.4.dir,1,2999,1497478,1500476,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.4.tail,1,2999,1505140,1508138,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.5.dir,1,2999,1990898,1993896,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.5.dir,1,2999,2027479,2030477,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.5.dir,19,2590,1251909,1249344,2592,0.0,1173.0,70.486
L01-1_G08_polish_fix,L01-1.1.5.dir,19,1463,1988432,1989876,1453,0.0,688.0,70.819
L01-1_G08_polish_fix,L01-1.1.5.dir,19,1463,2025013,2026457,1453,0.0,688.0,70.819
L01-1_G08_polish_fix,L01-1.1.5.tail,1,2999,2035142,2038139,2999,0.0,5401.0,99.967
L01-1_G08_polish_fix,L01-1.1.5.tail,845,1122,3746982,3747259,278,2.5500000000000002e-26,119.0,69.424
L01-1_G08_polish_fix,L01-1.1.6.dir,1,2999,2347515,2350513,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.6.tail,1,2999,2355178,2358176,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.6.tail,171,697,2567595,2567075,530,4.31e-74,278.0,71.887
L01-1_G08_polish_fix,L01-1.1.6.tail,163,700,1206887,1207441,563,4.6099999999999995e-61,234.0,69.627
L01-1_G08_polish_fix,L01-1.1.6.tail,1049,1365,2566776,2566490,319,1.16e-49,196.0,73.041
L01-1_G08_polish_fix,L01-1.1.6.tail,231,702,873737,873266,483,4.6099999999999996e-42,170.0,68.53
L01-1_G08_polish_fix,L01-1.1.6.tail,1047,1364,1207705,1207980,320,2.5500000000000002e-26,119.0,67.188
L01-1_G08_polish_fix,L01-1.1.6.tail,207,405,1897524,1897326,199,4.6199999999999997e-23,107.0,71.859
L01-1_G08_polish_fix,L01-1.1.6.tail,1191,1290,872902,872803,100,7.82e-14,77.9,77.0
L01-1_G08_polish_fix,L01-1.1.7.dir,1,2999,3413552,3416549,2999,0.0,5401.0,99.967
L01-1_G08_polish_fix,L01-1.1.7.dir,1407,2757,2258239,2256889,1369,8.849999999999999e-178,622.0,70.636
L01-1_G08_polish_fix,L01-1.1.7.dir,1410,2759,3124794,3123445,1364,1.31e-175,615.0,70.748
L01-1_G08_polish_fix,L01-1.1.7.tail,1,2999,3419643,3422641,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.7.tail,252,2479,1242591,1240367,2235,0.0,1558.0,75.66
L01-1_G08_polish_fix,L01-1.1.7.tail,255,427,2945048,2945220,173,6.01e-28,123.0,75.723
L01-1_G08_polish_fix,L01-1.1.7.tail,1,228,547911,548138,228,8.35e-20,96.9,69.298
L01-1_G08_polish_fix,L01-1.1.8.dir,1,2999,3911102,3914099,2999,0.0,5401.0,99.967
L01-1_G08_polish_fix,L01-1.1.8.tail,1,2999,3917193,3920191,2999,0.0,5405.0,99.967
L01-1_G08_polish_fix,L01-1.1.9.dir,1,2999,4008663,4011660,2999,0.0,5401.0,99.967
L01-1_G08_polish_fix,L01-1.1.9.tail,1,2999,4016325,4019323,2999,0.0,5409.0,100.0
L01-1_G08_polish_fix,L01-1.1.9.tail,153,681,3465015,3464487,537,2.91e-19,96.0,65.177
