sseqid,qseqid,qstart,qend,sstart,send,length,evalue,bitscore,pident
L01-1_G08_polish_fix,L01-1.1.0.dir,1,299,476615,476913,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.0.tail,1,299,480007,480305,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.2.dir,1,298,1185673,1185970,298,7.7e-154,538.0,100.0
L01-1_G08_polish_fix,L01-1.1.2.tail,2,299,1203703,1203406,298,7.7e-154,538.0,100.0
L01-1_G08_polish_fix,L01-1.1.2.tail,1,222,1086676,1086455,222,7.26e-15,77.0,67.568
L01-1_G08_polish_fix,L01-1.1.3.dir,1,299,1406080,1406378,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.3.tail,1,299,1409472,1409770,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.4.dir,1,299,1500178,1500476,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.4.tail,1,299,1505140,1505438,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.5.dir,1,299,1993598,1993896,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.5.dir,1,299,2030179,2030477,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.5.tail,1,299,2035142,2035440,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.6.dir,1,299,2350215,2350513,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.6.tail,1,299,2355178,2355476,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.6.tail,171,298,2567595,2567468,128,3.3e-19,92.4,75.781
L01-1_G08_polish_fix,L01-1.1.7.dir,1,299,3416251,3416549,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.7.dir,1,59,3123503,3123445,59,2.53e-14,76.1,88.136
L01-1_G08_polish_fix,L01-1.1.7.tail,1,299,3419643,3419941,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.7.tail,1,228,547911,548138,228,7.75e-21,96.9,69.298
L01-1_G08_polish_fix,L01-1.1.8.dir,1,299,3913801,3914099,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.8.tail,1,299,3917193,3917491,299,9.38e-153,535.0,99.666
L01-1_G08_polish_fix,L01-1.1.9.dir,1,299,4011362,4011660,299,2.21e-154,540.0,100.0
L01-1_G08_polish_fix,L01-1.1.9.tail,1,299,4016325,4016623,299,2.21e-154,540.0,100.0
