pos_id,IS_strand,flank,pos,genome,cluster_id,insert_id,flankMatchDir,position_status,sv
0,False,f,1272610,Ref,18,7,False,original,pristine
0,False,r,1275701,Ref,28,8,True,original,pristine
0,False,r,476935,Query,8,1,True,new,simple_insertion
0,False,f,476923,Query,8,1,False,new,simple_insertion
1,False,r,548978,Query,22,2,True,new,unknown
1,False,f,554375,Query,36,3,False,new,unknown
2,False,r,705287,Query,17,4,True,new,simple_insertion
2,False,f,705275,Query,17,4,False,new,simple_insertion
3,True,f,1058315,Query,26,5,True,new,simple_insertion
3,True,r,1058302,Query,26,5,False,new,simple_insertion
4,True,f,1181609,Query,1,6,True,new,unknown
4,True,r,1291814,Query,9,9,False,new,unknown
5,True,f,1475277,Query,2,10,True,new,unknown
5,False,r,1488330,Query,41,11,True,new,unknown
6,True,r,1475263,Query,2,10,False,new,unknown
6,True,f,1291826,Query,9,9,True,new,unknown
7,False,f,1275699,Query,28,8,False,original,pristine
7,False,r,1272611,Query,18,7,True,original,pristine
8,True,r,1181595,Query,1,6,False,new,unknown
8,False,f,1488995,Query,23,12,False,new,unknown
9,False,r,1660131,Query,40,13,True,new,unknown
9,False,f,1661523,Query,29,14,False,new,unknown
10,False,r,1727308,Query,12,15,True,new,simple_insertion
10,False,f,1727295,Query,12,15,False,new,simple_insertion
11,False,r,1755927,Query,13,16,True,new,simple_insertion
11,False,f,1755914,Query,13,16,False,new,simple_insertion
12,True,f,1772600,Query,42,17,True,new,unknown
12,True,r,1773191,Query,30,18,False,new,unknown
13,False,r,1819569,Query,20,19,True,new,unknown
13,False,f,1908030,Query,25,20,False,new,unknown
14,True,f,1938086,Query,7,21,True,new,simple_insertion
14,True,r,1938073,Query,7,21,False,new,simple_insertion
15,True,f,1971562,Query,33,22,True,new,unknown
15,True,r,1980792,Query,27,23,False,new,unknown
16,False,r,2119666,Query,21,24,True,new,simple_insertion
16,False,f,2119653,Query,21,24,False,new,simple_insertion
17,True,f,2163282,Query,10,25,True,new,simple_insertion
17,True,r,2163269,Query,10,25,False,new,simple_insertion
18,True,f,2204215,Query,32,26,True,new,unknown
18,False,r,2296172,Query,34,28,True,new,unknown
19,True,r,2215320,Query,24,27,False,new,unknown
19,False,f,2304467,Query,31,29,False,new,unknown
20,False,r,2387524,Query,37,30,True,new,unknown
20,False,f,2392007,Query,14,31,False,new,unknown
21,True,f,2646352,Query,35,32,True,new,unknown
21,True,r,2652146,Query,15,33,False,new,unknown
22,False,r,2800233,Query,4,34,True,new,simple_insertion
22,False,f,2800220,Query,4,34,False,new,simple_insertion
23,False,r,3039528,Query,0,35,True,new,unknown
23,True,f,3052298,Query,11,36,True,new,unknown
24,False,f,3039514,Query,0,35,False,new,unknown
24,True,r,3070733,Query,38,37,False,new,unknown
25,False,r,3358694,Query,3,38,True,new,simple_insertion
25,False,f,3358681,Query,3,38,False,new,simple_insertion
26,True,f,3686551,Query,43,39,True,new,unknown
26,True,r,3686708,Query,39,40,False,new,unknown
27,False,r,3817087,Query,5,41,True,new,simple_insertion
27,False,f,3817074,Query,5,41,False,new,simple_insertion
28,True,f,3848476,Query,6,42,True,new,simple_insertion
28,True,r,3848463,Query,6,42,False,new,simple_insertion
29,True,f,3943022,Query,19,43,True,new,unknown
29,True,r,3945327,Query,16,44,False,new,unknown
