group,start,end,depth,length,start_fix,end_fix,is_start,is_end
1,1,548975,1.0,548975,1,548975,-1,2
2,548976,554376,0.0,5401,548976,554376,2,3
3,554377,1485236,1.0,930860,554377,1488328,3,11
4,1485237,1485904,0.0,668,1488329,1488996,11,12
5,1485905,1657037,1.0,171133,1488997,1660129,12,13
6,1657038,1658432,0.0,1395,1660130,1661524,13,14
7,1658433,1769504,1.0,111072,1661525,1772596,14,17
8,1769505,1770099,0.0,595,1772597,1773191,17,18
9,1770100,1816474,1.0,46375,1773192,1819566,18,19
10,1816475,1904939,0.0,88465,1819567,1908031,19,20
11,1904940,1968467,1.0,63528,1908032,1971559,20,22
12,1968468,1977701,0.0,9234,1971560,1980793,22,23
13,1977702,2201120,1.0,223419,1980794,2204212,23,26
14,2201121,2212229,0.0,11109,2204213,2215321,26,27
15,2212230,2293078,1.0,80849,2215322,2296170,27,28
16,2293079,2301376,0.0,8298,2296171,2304468,28,29
17,2301377,2384431,1.0,83055,2304469,2387523,29,30
18,2384432,2388916,0.0,4485,2387524,2392008,30,31
19,2388917,2643258,1.0,254342,2392009,2646350,31,32
20,2643259,2649055,0.0,5797,2646351,2652147,32,33
21,2649056,3049205,1.0,400150,2652148,3052297,33,36
22,3049206,3067642,0.0,18437,3052298,3070734,36,37
23,3067643,3683456,1.0,615814,3070735,3686548,37,39
24,3683457,3683617,0.0,161,3686549,3686709,39,40
25,3683618,3867438,1.0,183821,3686710,3870530,40,-1
26,3867439,3867520,0.0,82,3870531,3870612,-1,-1
27,3867521,3939927,1.0,72407,3870613,3943019,-1,43
28,3939928,3942236,0.0,2309,3943020,3945328,43,44
29,3942237,3977333,1.0,35097,3945329,3980425,44,-1
