is_id_desc,s_start_x_f,s_end_x_f,query_id_f,q_start_f,q_end_f,s_start_y_f,s_end_y_f,alignment_length_f,evalue_f,IS_strand_f,is_match_length_f,is_ins_pos_f,is_matched_f,s_start_x_r,s_end_x_r,query_id_r,q_start_r,q_end_r,s_start_y_r,s_end_y_r,alignment_length_r,evalue_r,IS_strand_r,is_match_length_r,is_ins_pos_r,is_matched_r,_is_length,_same_strand,_range_overlap,_range_distance,_same_ins_pos,_detected_is_start,_detected_is_end,status,insert_id_f,target_locus_status_f,insert_id_r,target_locus_status_r
0,480119,476928,0_f,1,99,477023,476925,99,9.309999999999999e-45,False,-1,476923,False,476829,480020,0_r,1,98,476836,476933,98,3.25e-44,False,-2,476936,False,3192,True,8,0,True,476923,476936,simple_insertion,1,new,1,new
1,560358,557167,1_f,1,99,554163,554065,99,9.309999999999999e-45,False,-1,554063,False,557068,560259,1_r,1,98,553976,554073,98,3.25e-44,False,-2,554076,False,3192,True,8,0,True,554063,554076,simple_insertion,2,new,2,new
2,1187732,1192502,2_f,1,98,1181500,1181597,98,4.87e-44,True,-2,1181600,False,1192601,1187831,2_r,1,99,1488230,1488328,99,1.4e-44,False,-1,1488330,False,4771,False,0,306633,False,1181600,1488330,unknown,3,new,6,new
3,1405024,1408215,3_f,1,3191,1275799,1272610,3191,0.0,False,3091,1275699,True,1408314,1405123,3_r,1,3191,1272511,1275700,3191,0.0,False,3091,1272611,True,3192,True,3090,0,False,1272611,1275699,pristine,5,original,4,original
4,1503991,1499230,4_f,1,99,1489095,1488997,99,1.39e-44,False,-1,1488995,False,1499131,1503892,4_r,1,98,1181695,1181598,98,4.86e-44,True,-2,1181595,False,4762,False,0,307302,False,1181595,1488995,unknown,7,new,3,new
5,1986349,1991110,5_f,1,99,1971462,1971560,99,1.39e-44,True,-1,1971562,False,1991209,1986448,5_r,1,99,1980892,1980794,99,1.39e-44,True,-1,1980792,False,4762,True,0,9234,False,1971562,1980792,unknown,8,new,9,new
6,2311247,2306486,6_f,1,99,2296260,2296162,99,1.39e-44,False,-1,2296160,False,2306387,2311148,6_r,1,98,2296073,2296170,98,4.86e-44,False,-2,2296173,False,4762,True,8,0,True,2296160,2296173,simple_insertion,10,new,10,new
7,3376836,3373645,7_f,1,99,3358781,3358683,99,9.309999999999999e-45,False,-1,3358681,False,3373546,3376737,7_r,1,98,3358594,3358691,98,3.25e-44,False,-2,3358694,False,3192,True,8,0,True,3358681,3358694,simple_insertion,11,new,11,new
8,3866431,3869621,8_f,1,98,3848376,3848473,98,3.25e-44,True,-2,3848476,False,3869720,3866530,8_r,1,99,3848563,3848465,99,9.309999999999999e-45,True,-1,3848463,False,3191,True,8,0,True,3848463,3848476,simple_insertion,12,new,12,new
9,3963995,3968754,9_f,1,98,3942922,3943019,98,4.86e-44,True,-2,3943022,False,3968853,3964094,9_r,1,99,3945427,3945329,99,1.39e-44,True,-1,3945327,False,4760,True,0,2310,False,3943022,3945327,unknown,13,new,14,new
