# `is_start`: the ID of IS corresponding to the start of the interval. -1 if no corresponding IS.
# Data of {L04-1, gen3} is removed from the main analyses due to sequence divergence between G08 and G20, making analyese unreliable.
depth,length,start,end,is_start,is_end,line,gen_id
0,4947,552531,560570,3,6,L01-1,2
0,4208,2661331,2665538,21,22,L01-1,2
0,462,552045,552506,3,4,L01-1,3
0,1404,1676236,1680732,18,21,L01-1,3
0,595,1791803,1792397,24,25,L01-1,3
0,88463,1838771,1927233,26,27,L01-1,3
0,11109,2221935,2233043,34,35,L01-1,3
0,8305,2318558,2326862,36,38,L01-1,3
0,4484,2409915,2414398,39,40,L01-1,3
0,1588,2671824,2673411,41,43,L01-1,3
0,18437,3073536,3091972,46,47,L01-1,3
0,170,3715532,3715701,50,52,L01-1,3
0,25550,531618,560260,3,4,L01-2,2
2,16156,571296,587451,6,7,L01-2,2
0,2463,1192503,1194965,8,10,L01-2,2
0,102,2306386,2311150,19,20,L01-2,2
0,1159,3523879,3525037,24,25,L01-2,2
0,13258,539480,555830,5,8,L01-2,3
0,241,2067433,2067673,21,22,L01-2,3
0,27020,3721067,3748086,35,36,L01-2,3
0,150,3867105,3870345,38,40,L01-2,3
0,5427,3967892,3977981,42,44,L01-2,3
0,8281,549161,560534,4,7,L01-3,2
0,6838,1181611,1193120,8,11,L01-3,2
0,9761,1839946,1849706,19,20,L01-3,2
0,1408,3477754,3479161,31,32,L01-3,2
0,1126,1045807,1046932,7,8,L01-3,3
0,1106,1565290,1566395,15,17,L01-3,3
0,177,1835424,1835600,22,23,L01-3,3
0,13667,1964864,1978530,27,28,L01-3,3
0,8431,2301646,2310076,30,32,L01-3,3
0,970,3146217,3147186,40,41,L01-3,3
0,25214,3352380,3380686,42,45,L01-3,3
0,4555,3864967,3869521,48,49,L01-3,3
0,13516,3936306,3949821,51,53,L01-3,3
0,26452,2311149,2337600,17,19,L01-4,2
0,2182,434044,436225,4,5,L01-4,3
0,1601,2557939,2559539,29,30,L01-4,3
0,7683,3354945,3362627,36,37,L01-4,3
0,1415,3471263,3472677,39,41,L01-4,3
0,328,3859849,3860176,42,43,L01-4,3
0,416,1232074,1232489,2,3,L02-1,2
0,34786,1819455,1854240,11,12,L02-1,2
0,942,3060086,3061027,22,23,L02-1,2
0,10041,3376394,3386434,25,27,L02-1,2
0,2405,3894538,3900034,37,38,L02-1,2
0,1152,3997403,3998554,40,41,L02-1,2
0,98,101578,101675,-1,-1,L02-1,3
2,240165,1282159,1522323,9,12,L02-1,3
0,1382,1669460,1670841,14,15,L02-1,3
0,11577,2273383,2284959,24,25,L02-1,3
0,84152,3699201,3783352,46,47,L02-1,3
0,1510,3968663,3970172,53,55,L02-1,3
0,681,554067,554747,1,2,L02-2,2
0,4093,2395639,2399731,15,16,L02-2,2
0,19533,3041493,3061025,24,25,L02-2,2
0,14980,3733656,3748635,33,34,L02-2,2
2,16503,3810331,3829926,35,37,L02-2,2
0,449,3896934,3900474,40,42,L02-2,2
0,746,3998553,4002391,43,45,L02-2,2
0,1651,2322642,2324292,18,20,L02-2,3
2,372360,2452243,2830763,23,28,L02-2,3
0,680,3374464,3375143,34,36,L02-2,3
0,2159,3734831,3736989,41,43,L02-2,3
0,16501,3819217,3835717,46,48,L02-2,3
0,18028,1214067,1232094,3,4,L02-3,2
0,562,1664423,1668077,10,12,L02-3,2
0,1800,2402826,2404625,17,19,L02-3,2
0,17647,2572651,2590297,20,21,L02-3,2
0,507,3373299,3376898,29,31,L02-3,2
0,19357,3790974,3810330,37,38,L02-3,2
0,14929,1101947,1116875,3,4,L02-3,3
0,24925,2375408,2400332,25,26,L02-3,3
2,257117,2403426,2663633,26,30,L02-3,3
0,2005,3969749,3971753,52,54,L02-3,3
0,109,1190356,1190464,-1,-1,L02-4,2
0,58294,2341439,2399732,15,16,L02-4,2
0,9480,3160133,3169612,26,27,L02-4,2
0,31431,3355517,3390040,28,31,L02-4,2
0,2970,3826956,3829925,39,40,L02-4,2
0,1077,3940953,3942029,45,46,L02-4,2
0,7018,140468,150576,1,5,L02-4,3
0,9110,2198923,2208032,22,23,L02-4,3
0,6463,2325590,2332052,26,28,L02-4,3
2,64278,2581472,2648840,33,35,L02-4,3
0,4768,3110253,3115020,41,42,L02-4,3
0,1187,3125285,3126471,43,44,L02-4,3
0,909,3542388,3543296,52,53,L02-4,3
0,189,3814674,3814862,61,62,L02-4,3
0,5024,3867599,3872622,65,67,L02-4,3
0,655,3892871,3893525,69,70,L02-4,3
0,5818,3932628,3941537,71,74,L02-4,3
0,1063,496602,497664,-1,-1,L03-1,3
0,16013,1031959,1047971,4,5,L03-1,3
0,11445,1343272,1357809,10,13,L03-1,3
0,356,1878770,1879125,18,19,L03-1,3
0,4927,2050406,2055332,22,24,L03-1,3
0,226,2398359,2398584,25,26,L03-1,3
0,19359,3435930,3455288,33,35,L03-1,3
0,361,1113148,1113508,8,10,L03-2,2
0,5725,2021650,2027374,17,18,L03-2,2
0,733,2318061,2318793,19,20,L03-2,2
0,330,316001,316330,5,6,L03-2,3
0,166,2330329,2330494,26,27,L03-2,3
2,48315,3577207,3625521,37,39,L03-2,3
0,22732,1669260,1691991,11,13,L03-3,2
0,241,1872745,1872985,14,15,L03-3,2
2,32319,1878157,1910475,15,17,L03-3,2
0,2714,3420075,3425881,27,30,L03-3,2
0,710,3492755,3493464,31,32,L03-3,2
0,2772,3887075,3889846,33,35,L03-3,2
0,32320,1865503,1897822,21,23,L03-3,3
0,1557,2423759,2425315,27,29,L03-3,3
0,12099,3003496,3015594,37,38,L03-3,3
0,805,3033034,3033838,40,41,L03-3,3
0,17596,3129881,3147476,42,43,L03-3,3
0,379,3305043,3305421,45,46,L03-3,3
0,29045,3654440,3683484,52,53,L03-3,3
0,61439,1823899,1885337,19,20,L03-4,3
3,47299,2606461,2659944,36,38,L03-4,3
2,34913,24531,59443,1,2,L04-1,2
0,653,359805,360457,5,6,L04-1,2
0,1174,1950147,1951320,21,22,L04-1,2
0,23113,3021111,3044223,32,33,L04-1,2
0,896,3220206,3221101,35,36,L04-1,2
0,3464,3623361,3626824,37,38,L04-1,2
0,59436,1,59436,-1,1,L04-1,3
0,5197,890534,895730,13,14,L04-1,3
0,584,1325444,1326027,17,18,L04-1,3
0,17162,1744025,1761186,24,25,L04-1,3
0,3954,2029882,2033835,29,30,L04-1,3
0,2232,3515462,3517693,46,48,L04-1,3
0,733,3645936,3646668,49,51,L04-1,3
2,5170,3715224,3720393,-1,-1,L04-1,3
0,360,3883818,3884177,52,53,L04-1,3
0,2324,116143,118466,1,2,L04-2,2
0,534,490405,490938,6,7,L04-2,2
0,414,774580,778086,11,13,L04-2,2
0,543,2210188,2210730,24,25,L04-2,2
0,942,2437059,2438000,31,33,L04-2,2
0,4078,3047317,3051394,34,36,L04-2,2
0,9540,3617285,3626824,38,39,L04-2,2
0,29723,297318,327040,3,4,L04-2,3
