# test_side, side of one-sided binary tests
start,end,mutation_count,mutations_per_bp,p_value,adjusted_p_value,significant,test_side
1.0,100000.0,14,0.00014,0.0738372764986562,0.1759103517301917,false,low
1001.0,101000.0,14,0.00014,0.0738372764986562,0.1759103517301917,false,low
2001.0,102000.0,14,0.00014,0.0738372764986562,0.1759103517301917,false,low
3001.0,103000.0,14,0.00014,0.0738372764986562,0.1759103517301917,false,low
4001.0,104000.0,14,0.00014,0.0738372764986562,0.1759103517301917,false,low
5001.0,105000.0,14,0.00014,0.0738372764986562,0.1759103517301917,false,low
6001.0,106000.0,14,0.00014,0.0738372764986562,0.1759103517301917,false,low
7001.0,107000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
8001.0,108000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
9001.0,109000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
10001.0,110000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
11001.0,111000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
12001.0,112000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
13001.0,113000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
14001.0,114000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
15001.0,115000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
16001.0,116000.0,15,0.00015,0.11521490295753148,0.2536894517001841,false,low
17001.0,117000.0,17,0.00017,0.2496820808392486,0.45637482269102325,false,low
18001.0,118000.0,18,0.00018,0.34712026582820615,0.5736346111507218,false,low
19001.0,119000.0,21,0.00021,0.8337813226704605,0.9149072341651332,false,low
20001.0,120000.0,21,0.00021,0.8337813226704605,0.9149072341651332,false,low
21001.0,121000.0,25,0.00025,0.6009558579918202,0.7903552265164968,false,high
22001.0,122000.0,25,0.00025,0.6009558579918202,0.7903552265164968,false,high
23001.0,123000.0,25,0.00025,0.6009558579918202,0.7903552265164968,false,high
24001.0,124000.0,25,0.00025,0.6009558579918202,0.7903552265164968,false,high
25001.0,125000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
26001.0,126000.0,25,0.00025,0.6009558579918202,0.7903552265164968,false,high
27001.0,127000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
28001.0,128000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
29001.0,129000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
30001.0,130000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
31001.0,131000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
32001.0,132000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
33001.0,133000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
34001.0,134000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
35001.0,135000.0,24,0.00024,0.753566139226854,0.8925756620833399,false,high
36001.0,136000.0,26,0.00026,0.464322755848421,0.6920512508545728,false,high
37001.0,137000.0,27,0.00027,0.4008571835009602,0.6275314382687073,false,high
38001.0,138000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
39001.0,139000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
40001.0,140000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
41001.0,141000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
42001.0,142000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
43001.0,143000.0,26,0.00026,0.464322755848421,0.6920512508545728,false,high
44001.0,144000.0,26,0.00026,0.464322755848421,0.6920512508545728,false,high
45001.0,145000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
46001.0,146000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
47001.0,147000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
48001.0,148000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
49001.0,149000.0,28,0.00028,0.293556228390192,0.5132399408086756,false,high
50001.0,150000.0,28,0.00028,0.293556228390192,0.5132399408086756,false,high
51001.0,151000.0,28,0.00028,0.293556228390192,0.5132399408086756,false,high
52001.0,152000.0,28,0.00028,0.293556228390192,0.5132399408086756,false,high
53001.0,153000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
54001.0,154000.0,29,0.00029,0.20751161484890335,0.4006322690172086,false,high
55001.0,155000.0,30,0.0003,0.14156998353075548,0.2977232458721276,false,high
56001.0,156000.0,30,0.0003,0.14156998353075548,0.2977232458721276,false,high
57001.0,157000.0,30,0.0003,0.14156998353075548,0.2977232458721276,false,high
58001.0,158000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
59001.0,159000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
60001.0,160000.0,31,0.00031,0.09327223389084396,0.21291098802720745,false,high
61001.0,161000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
62001.0,162000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
63001.0,163000.0,35,0.00035,0.015647486244972184,0.055028836343846525,false,high
64001.0,164000.0,35,0.00035,0.015647486244972184,0.055028836343846525,false,high
65001.0,165000.0,35,0.00035,0.015647486244972184,0.055028836343846525,false,high
66001.0,166000.0,35,0.00035,0.015647486244972184,0.055028836343846525,false,high
67001.0,167000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
68001.0,168000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
69001.0,169000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
70001.0,170000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
71001.0,171000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
72001.0,172000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
73001.0,173000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
74001.0,174000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
75001.0,175000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
76001.0,176000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
77001.0,177000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
78001.0,178000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
79001.0,179000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
80001.0,180000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
81001.0,181000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
82001.0,182000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
83001.0,183000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
84001.0,184000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
85001.0,185000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
86001.0,186000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
87001.0,187000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
88001.0,188000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
89001.0,189000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
90001.0,190000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
91001.0,191000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
92001.0,192000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
93001.0,193000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
94001.0,194000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
95001.0,195000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
96001.0,196000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
97001.0,197000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
98001.0,198000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
99001.0,199000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
100001.0,200000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
101001.0,201000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
102001.0,202000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
103001.0,203000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
104001.0,204000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
105001.0,205000.0,34,0.00034,0.02712554186224897,0.08338747656649664,false,high
106001.0,206000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
107001.0,207000.0,32,0.00032,0.05944165989954356,0.14799077427147148,false,high
108001.0,208000.0,33,0.00033,0.04555780044571364,0.12082984915015722,false,high
