first,last,ess_cnt,line,gen_id,is_cnt,ins_cnt,ins_cnt_simple,ess_bp,ess_IS_bp
20001,30000,1,L01-1,1,0,0,0,75,75
40001,50000,1,L01-1,1,0,0,0,1259,1259
50001,60000,3,L01-1,1,0,0,0,228,228
60001,70000,2,L01-1,1,0,0,0,1678,1678
100001,110000,1,L01-1,1,0,0,0,545,545
120001,130000,2,L01-1,1,0,0,0,3382,3382
190001,200000,2,L01-1,1,0,0,0,2094,2094
200001,210000,1,L01-1,1,0,0,0,1063,1063
230001,240000,1,L01-1,1,0,0,0,320,320
240001,250000,6,L01-1,1,0,0,0,3626,3626
250001,260000,7,L01-1,1,0,0,0,6217,6217
260001,270000,1,L01-1,1,0,0,0,3824,3824
320001,330000,2,L01-1,1,0,0,0,2574,2574
330001,340000,3,L01-1,1,0,0,0,2744,2744
340001,350000,2,L01-1,1,0,0,0,536,536
440001,450000,3,L01-1,1,0,0,0,2099,2099
450001,460000,1,L01-1,1,0,0,0,406,406
460001,470000,4,L01-1,1,0,0,0,2840,2840
470001,480000,1,L01-1,1,1,0,0,186,3259
480001,490000,0,L01-1,1,1,0,0,0,20
500001,510000,1,L01-1,1,0,0,0,227,227
520001,530000,1,L01-1,1,0,0,0,530,530
550001,560000,0,L01-1,1,1,1,0,0,2834
560001,570000,3,L01-1,1,1,1,0,5037,5296
580001,590000,2,L01-1,1,0,0,0,1276,1276
640001,650000,4,L01-1,1,0,0,0,5201,5201
650001,660000,1,L01-1,1,0,0,0,821,821
670001,680000,2,L01-1,1,0,0,0,2833,2833
710001,720000,6,L01-1,1,0,1,1,6700,6700
720001,730000,9,L01-1,1,0,0,0,8638,8638
730001,740000,3,L01-1,1,0,0,0,3791,3791
760001,770000,1,L01-1,1,0,0,0,662,662
770001,780000,1,L01-1,1,0,0,0,479,479
780001,790000,2,L01-1,1,0,0,0,60,60
790001,800000,2,L01-1,1,0,0,0,1564,1564
800001,810000,7,L01-1,1,0,0,0,4618,4618
810001,820000,9,L01-1,1,0,0,0,9039,9039
820001,830000,4,L01-1,1,0,0,0,6572,6572
830001,840000,1,L01-1,1,0,0,0,1718,1718
930001,940000,1,L01-1,1,0,0,0,974,974
960001,970000,4,L01-1,1,0,0,0,4057,4057
970001,980000,5,L01-1,1,0,0,0,4491,4491
1010001,1020000,1,L01-1,1,0,0,0,113,113
1020001,1030000,1,L01-1,1,0,0,0,1929,1929
1030001,1040000,2,L01-1,1,0,0,0,1606,1606
1080001,1090000,3,L01-1,1,0,0,0,2973,2973
1090001,1100000,1,L01-1,1,0,0,0,76,76
1160001,1170000,2,L01-1,1,0,0,0,3013,3013
1170001,1180000,4,L01-1,1,0,0,0,4835,4835
1180001,1190000,0,L01-1,1,1,0,0,0,2170
1190001,1200000,0,L01-1,1,1,0,0,0,2502
1200001,1210000,1,L01-1,1,0,1,0,1400,1400
1210001,1220000,3,L01-1,1,0,0,0,6459,6459
1220001,1230000,4,L01-1,1,0,0,0,4518,4518
1230001,1240000,1,L01-1,1,0,0,0,632,632
1250001,1260000,3,L01-1,1,0,0,0,5895,5895
1260001,1270000,1,L01-1,1,0,0,0,218,218
1400001,1410000,0,L01-1,1,1,0,0,0,3093
1470001,1480000,2,L01-1,1,0,0,0,1031,1031
1480001,1490000,1,L01-1,1,0,0,0,1163,1163
1490001,1500000,2,L01-1,1,1,0,0,1622,2393
1500001,1510000,0,L01-1,1,1,0,0,0,3892
1510001,1520000,1,L01-1,1,0,0,0,518,518
1530001,1540000,1,L01-1,1,0,0,0,87,87
1610001,1620000,3,L01-1,1,0,0,0,5040,5040
1620001,1630000,5,L01-1,1,0,0,0,3541,3541
1640001,1650000,3,L01-1,1,0,0,0,2840,2840
1650001,1660000,1,L01-1,1,0,0,0,297,297
1660001,1670000,1,L01-1,1,0,0,0,1106,1106
1670001,1680000,0,L01-1,1,0,1,1,0,0
1700001,1710000,5,L01-1,1,0,0,0,3504,3504
1710001,1720000,4,L01-1,1,0,0,0,3526,3526
1770001,1780000,1,L01-1,1,0,0,0,2597,2597
1780001,1790000,1,L01-1,1,0,0,0,590,590
1790001,1800000,1,L01-1,1,0,0,0,788,788
1950001,1960000,0,L01-1,1,0,1,1,0,0
1980001,1990000,0,L01-1,1,1,0,0,0,3553
1990001,2000000,0,L01-1,1,1,0,0,0,1110
2030001,2040000,1,L01-1,1,0,0,0,1274,1274
2050001,2060000,1,L01-1,1,0,0,0,32,32
2060001,2070000,1,L01-1,1,0,0,0,609,609
2110001,2120000,5,L01-1,1,0,0,0,6196,6196
2130001,2140000,1,L01-1,1,0,0,0,177,177
2140001,2150000,1,L01-1,1,0,0,0,650,650
2180001,2190000,1,L01-1,1,0,0,0,995,995
2200001,2210000,1,L01-1,1,0,0,0,695,695
2260001,2270000,1,L01-1,1,0,0,0,1772,1772
2270001,2280000,1,L01-1,1,0,0,0,1734,1734
2290001,2300000,3,L01-1,1,0,0,0,707,707
2300001,2310000,0,L01-1,1,1,0,0,0,3515
2310001,2320000,0,L01-1,1,1,0,0,0,1148
2400001,2410000,1,L01-1,1,0,0,0,1099,1099
2410001,2420000,1,L01-1,1,0,0,0,934,934
2450001,2460000,1,L01-1,1,0,0,0,668,668
2490001,2500000,1,L01-1,1,0,0,0,1023,1023
